PRODUCT,SOURCE,REVIEW,RATING,DATE
True Color Shampoo,Sephora,"I received a sample of this shampoo (and conditioner) a few months ago. I could not wait to run out of shampoo so I could justify buying this. Be warned: if you want a shampoo that is heavy, this is not that shampoo. Heavy ""nourishing"" shampoos ruin my scalp. Rita Hazan does not. And, while YMMV, I love the ""spicy"" smell. So much better than heavy floral or fruit.",5 Stars,7/13/16
True Color Shampoo,Sephora,Once I learned Rita Hazan created her own shampoo I HAD to purchase seeing as I've used the Root Concealer for years and low and behold she did NOT disappoint with this one. My hair feels AMAZING after one single use and the scent is BEYOND. Do yourself a favor and buy MULTIPLE.,5 Stars,1/26/16
True Color Shampoo,Sephora,"I have thinner, color treated hair, and got this as a sample originally. It made my hair so soft that I had to buy the full size. I'm not one to usually spend this much on shampoo, but it left such an impression on me that I had to buy the full size. I know a lot of people on here are complaining about it drying hair out, but I've had no problem with it, especially after using it with conditioner. It might all depend on hair type though. It does have a strong fragrance, kind of perfume like, but I don't mind it at all.",5 Stars,7/9/16
True Color Shampoo,Sephora,"My hair was a matted clump after rinsing this out, it felt like wet hay, this shampoo was so drying. I loved the tuberose/gardenia fragrance but I'm wondering if that's part of the problem - it's so heavily-fragranced that it makes the formula drying. I would love a more moisturizing version of this.",2 Stars,4/3/16
True Color Shampoo,Sephora,Smells incredible! But it dries out my hair and strips it of too many of my natural oils. Makes it frizzy,2 Stars,3/31/16
True Color Shampoo,Sephora,"This Poo is no Sham. Skeptical turned believer. It delivers by making my colored, fine but thick hair shine. I plan to get the conditioner",5 Stars,3/14/16
True Color Shampoo,Sephora,This shampoo and conditioner is not my cup of tea. The scent is WAY too strong which lasts all day long. Worst part about this is it's not even a nice scent.. very masculine smelling. As far as the performance of it... ehh... nothing special.,1 Star,4/18/16
True Color Shampoo,Sephora,"Smell wasn't great, didn't lather and didn't feel particularly moisturizing. :/",1 Star,3/18/16
True Color Shampoo,Sephora,"The smell stings my eyes and leaves my hair very dry. I wanted to love it because I love Rita Hazan root spray, but it isn't a great shampoo.",1 Star,6/5/16
True Color Shampoo,Sephora,Smells horrible and completely dried out my hair. Will not be purchasing again.,2 Stars,4/4/16
True Color Shampoo,Sephora,"It works, but a shampoo is just a shampoo.",4 Stars,8/18/16
True Color Shampoo,Sephora,"I got a sample of this and it did clean my hair. Very gentle, I do not believe it washed out any product build up. The worst part was the very very heavy scent. Felt like I bathed in perfume!",2 Stars,3/20/16
True Color Shampoo,Sephora,"I love this shampoo! It really keeps my highlights/lowlights looking freshly done and it smells amazing! It also bubbles up a lot, which I like. Other reviews stated that it's very drying, but maybe I'm the only one who uses conditioner after I shampoo? There's no way I'd be able to brush my hair if I only used shampoo! So, with conditioner after using this, your hair shouldn't be tangled and dry. Will definitely buy again!",5 Stars,3/12/16
True Color Shampoo,Sephora,"My hair has never looked or smelled better in my entire life. This is the best product on the market, and has done wonders for me. Highly recommended.",5 Stars,7/19/16
True Color Shampoo,Sephora,"I just used my sample of this and I'm about to order it. Love, love, love! Gorgeous scent, and it left my hair feeling so soft, with no dry or silicone-slick feeling.",5 Stars,3/21/16
True Color Shampoo,Sephora,"I have reddish blonde color-treated hair, and this product is gentle enough on the color that it has really stayed true. Smells great too.",5 Stars,4/11/16
True Color Shampoo,Sephora,This is hands down the best shampoo I have ever used. I have super curly hair but I love to wear it straight and this shampoo makes it easy to manage. It's hydrating but super light weight. It's a must have for any and everyone!,5 Stars,12/16/16
True Color Shampoo,Sephora,"This is the best shampoo iv'e ever used! I love the way it makes my hair look and feel, and it is the best smell ever. I wish I could buy this in a larger bottle",5 Stars,4/12/16
True Color Shampoo,Sephora,I have read a few reviews about this leaving hair tangled and messy. It does have a strange lather texture. Lathers and dissolves quickly and does feel weird however I believe this is to it not being heavy and weighing hair down with things it doesn't need. Once I use conditioner my hair feels perfect; not to dry or stripped. And the smell is amazing!,4 Stars,12/27/16
True Color Shampoo,Sephora,I received this as a two pack shampoo. Nice lather and left my hair with a nice smooth texture. What I didn't like was the smell. Has a strong coconut suntan lotion smell which is not a smell I want to have in my hair for all occasions. I was going to the Opera and really didn't want to smell like the beach.,4 Stars,3/14/16
True Color Shampoo,Sephora,"I have found the holy grail of conditioner and shampoo for my fine, color treated hair. My hair is soft, shiny and has body. Best of all it doesn't get greasy the next day! The smell is divine.",5 Stars,3/14/16
True Color Shampoo,Sephora,"Personally, I love the smell. It reminds me of Tocca's Florence. I love that it's lasted 24 hours so far. My hair looks great and feels great. How I know I really like a shampoo is how my hair feels immediately after rinsing it out. This felt like it actually did something.",5 Stars,5/6/16
True Color Shampoo,Sephora,I love how my hair feels and smells after I use the shampoo and conditioner! My color treated hair has never looked better!,5 Stars,12/14/16
True Color Shampoo,Sephora,"LOVE this shampoo and conditioner!! Head and shoulders above Ouai and DryBar -- works incredibly well -- loads of shine, smooth, color protection. smell is unique, does linger a little so make sure you like it. worth every penny, HG for those that want to extend color!!",5 Stars,3/29/16
True Color Shampoo,Sephora,I literally love the smell of this shampoo. It smells like I get my hair blown out every day. My hair isn't wirey after I use it either but when I wash my hair I always blow dry it to keep its shine. I love this shampoo though,5 Stars,3/18/16
True Color Shampoo,Sephora,This shampoo smells so good I'd buy it just for the smell. But it works great too. Leaves hair so clean yet silky but not greasy.,5 Stars,3/19/16
True Color Shampoo,Sephora,"Used the sample of shampoo and conditioner today and loved it. Loved the scent, loved how my hair looked and felt. Air dried quickly which wasn't my intention. Obvi the both are pricey but all quality items are.",5 Stars,3/20/16
True Color Shampoo,Sephora,"I received free samples of the shampoo and conditioner and I absolutely loved how my hair felt and looked! I have pretty frizzy hair that tends to get very oily at the roots throughout the day, so I like shampoos that clear up my scalp, but still hydrate enough so I don't poof out once it's dry. I liked the scent and how it lathers, and really need to buy the full sized versions!",5 Stars,7/5/17
True Color Shampoo,Sephora,"This shampoo smells delicious and my color didn't fade, but it makes my hair very dry; I can feel it since the moment I rinse it. I do not recommend this product.",2 Stars,4/12/16
True Color Shampoo,Sephora,"This line is amazing!!! My hair is soft and manageable, no frizz, no weighed-down locks, nothing but gorgeous! And the smell alone makes me want to buy it! It's not overwhelming and fades just enough in a couple of hours. Leaves me with that hint of fabulous scent and beautiful hair! LOVE!",5 Stars,6/14/17
True Color Shampoo,Sephora,I like this shampoo and conditioner. The smell isnt for everyone but I like it! I havent noticed anything terrible with my texture but I also use the hair treatment from RH and it makes my hair soooo soft!,4 Stars,9/14/17
